id,PropertyName,SubPropertyName
1289,Triborough Bridge Playground C,N/A
1290,La Guardia Landing Lights,N/A
1291,Bronx Park,N/A
1292,Bellevue South Park,N/A
1293,Fox Playground,N/A
1294,Riverside Park,Running Track And 78th St. Ballfields
1295,Greenwood Playground,N/A
1296,Fort Independence Playground,N/A
1297,Jackie Robinson Parkway,The Overlook
1298,Washington Square Park,Washington Square Park Eastern Half
1299,East River Waterfront Esplanade,East River Waterfront Esplanade Zone 1
1300,Stuyvesant Square,N/A
1301,Riverside Park,Riverside Dr. Pedestrian Zone F
1302,Soundview Park,Soundview Park Zone 4
1303,Ida Court,N/A
1304,Cooper Park,N/A
1305,Cooper Park,N/A
1306,St. Mary's Park,St Mary's Park Zone 1
1307,Brooklyn Bridge Park,Brooklyn Bridge Park Zone 6
1308,Inwood Hill Park,Inwood Hill Park Zone 1
1309,Washington Park,N/A
1310,Hunter's Point South Park,Hunter's Point South Park Zone 1
1311,Torsney Playground,N/A
1312,Van Cortlandt Park,Gun Hill Meadow
1313,Van Cortlandt Park,NE Forest
1314,Van Cortlandt Park,Parade Ground North
1315,Tribeca Dog Run,N/A
1316,Fort Washington Park,Fort Washington Park Zone 1B
1317,De Witt Clinton Park,N/A
1318,De Witt Clinton Park,N/A
1319,Brooklyn Bridge Park,N/A
1320,Williamsbridge Oval,N/A
1321,Manhattan Beach Park,Manhattan Beach Zone 3
1322,Dimattina Playground,N/A
1323,Maria Hernandez Park,N/A
1324,Sternberg Park,N/A
1325,Wolfe's Pond Park,Wolfe's Pond Park Zone 3
1326,Silver Lake Park,Silver Lake Park Zone 1
1327,Conference House Park,Conference House Park Zone 2
1328,Bloomingdale Park,Bloomingdale Park Zone 2
1329,Doughboy Plaza,N/A
1330,Veterans Grove,N/A
1331,Underbridge Dog Run,N/A
1332,Sherry Dog Run,N/A
1333,Little Bay Park,Little Bay Park Zone 1
1334,Rockaway Freeway,Beach 84
1335,Murray Playground,N/A
1336,Forest Park,Tennis Courts - Forest Parkway
1337,Washington Square Park,Washington Square Park Western Half
1338,Tompkins Square Park,N/A
1339,Cunningham Park,Cunningham Park Zone 1
1340,Union Square Park,N/A
1341,Thomas Jefferson Park,N/A
1342,Theodore Roosevelt Park,N/A
1343,Riverside Park,South Lawn
1344,Riverside Park,Serpentine Promenade
1345,Morningside Park,Morningside Park Zone 1
1346,St. Nicholas Park,St Nicholas Park Zone 02
1347,Robert Moses Playground,N/A
1348,Marcus Garvey Park,Marcus Garvey Park Zone 2
1349,Madison Square Park,N/A
1350,Riverside Park,Terrace Promenade South
1351,Peter Detmold Park,N/A
1352,Fort Tryon Park,Fort Tryon Park Zone 3
1353,Andrew Haswell Green Park,East River Esplanade Zone 5
1354,J. Hood Wright Park,N/A
1355,Highbridge Park,Highbridge Park Zone 4
1356,Fishbridge Garden,N/A
1357,Corlears Hook Park,N/A
1358,Coleman Playground,N/A
1359,Carl Schurz Park,Carl Schurz Main Lawn
1360,Carl Schurz Park,Carl Schurz Main Lawn
1361,Adam Yauch Park,N/A
1362,Owl's Head Park,N/A
1363,Msgr. McGolrick Park,N/A
1364,McCarren Park,McCarren Park Zone 5
1365,Hillside Dog Park,N/A
1366,Herbert Von King Park,N/A
1367,Dyker Beach Park,N/A
1368,Dimattina Playground,N/A
1369,Seton Park,N/A
1370,Pelham Bay Park,South Meadow
1371,Franz Sigel Park,Franz Sigel Park Zone 1
1372,Hackett Park,N/A
1373,Ewen Park,N/A
