name,type,Borough,EditDate,latitude,longitude,Status,ClosureType
St. Mary's Playground Skatepark,sp,B,2020-04-10 10:10:48,40.67639614880816,-73.99724368961897,COVID-19 Closure,Completely Locked
Rockaway Beach State Park,sp,Q,2020-04-09 01:04:29,40.584101620480915,-73.81350022461102,COVID-19 Closure,Completely Locked
Williamsbridge Oval Skate Park,sp,X,2020-04-17 09:56:17,40.87742111906683,-73.87665480267235,COVID-19 Closure,Temporary Fencing
Thomas Jefferson Skate Park,sp,M,2020-04-09 02:36:03,40.7933026679621,-73.93361183262488,COVID-19 Closure,Completely Locked
City Line Skatepark,sp,B,2020-04-10 10:27:53,40.679134596307705,-73.87458819405715,COVID-19 Closure,Completely Locked
Brower Park Skatepark,sp,B,2020-04-09 02:24:46,40.67447338612734,-73.94309836476316,COVID-19 Closure,Completely Locked
Bayswater Skatepark,sp,Q,2020-04-09 01:03:10,40.60006035547875,-73.76786527356808,COVID-19 Closure,Completely Locked
Playground 52 Skatepark,sp,X,2020-04-09 12:31:25,40.81500490528803,-73.9021742827884,COVID-19 Closure,Completely Locked
Faber Park Skate Park,sp,R,2020-04-09 09:47:36,40.640666666496536,-74.13601753909973,COVID-19 Closure,Completely Locked
Sgt. William Dougherty Playground Skatepark,sp,B,2020-04-09 02:00:38,40.72374701919731,-73.93677487539252,COVID-19 Closure,Completely Locked
Laurelton Playground Skatepark,sp,Q,2020-04-09 01:09:46,40.6703272414695,-73.73650374110706,COVID-19 Closure,Completely Locked
Nautilus Playground Skate Park,sp,B,2020-04-10 10:32:41,40.571636588102486,-73.99624017788274,COVID-19 Closure,Completely Locked
Cooper Skate Park,sp,B,2020-04-09 02:02:03,40.71544091761087,-73.93642058207847,COVID-19 Closure,Completely Locked
Golconda Playground Skatepark,sp,B,2020-04-10 10:35:04,40.69783740864237,-73.98235337283376,COVID-19 Closure,Completely Locked
Martinez Playground Skatepark,sp,B,2020-04-09 02:02:26,40.709204343790596,-73.94491413331328,COVID-19 Closure,Completely Locked
East Elmhurst Playground,sp,Q,2020-04-09 12:49:49,40.76490947818087,-73.8706696240348,COVID-19 Closure,Completely Locked
Highbridge Park,sp,M,2020-04-10 10:27:09,40.846233732266995,-73.9300114920885,COVID-19 Closure,Blocked with Barricade
Far Rockaway Skatepark,sp,Q,2020-04-09 01:05:02,40.59513972334308,-73.74649722575343,COVID-19 Closure,Completely Locked
Coleman Skatepark,sp,M,2020-04-09 01:20:17,40.71151346256035,-73.99301503891586,COVID-19 Closure,Completely Locked
Astoria Park Skatepark,sp,Q,2020-04-09 02:27:10,40.777752996822024,-73.92527317416011,COVID-19 Closure,Completely Locked
Flushing Meadows Maloof Skate Plaza,sp,Q,2020-04-09 12:58:54,40.74314462328282,-73.8433106130153,COVID-19 Closure,Completely Locked
Ben Soto Skatepark,sp,R,2020-05-14 10:33:16,40.57456295634122,-74.08412549993561,COVID-19 Closure,Completely Locked
Canarsie Skatepark,sp,B,2020-05-21 01:16:33,40.625695631492135,-73.90060665005535,COVID-19 Closure,Completely Locked
London Planetree Playground,sp,Q,2020-04-09 12:24:13,40.68627267152458,-73.85330694233065,COVID-19 Closure,Completely Locked
Washington Park Skatepark,sp,B,2020-04-10 10:04:22,40.67253407365756,-73.98570021283221,COVID-19 Closure,Completely Locked
Robert Venable Skatepark,sp,B,2020-04-10 10:32:24,40.67472606085506,-73.86575098106896,COVID-19 Closure,Completely Locked
Riverside Park Skatepark,sp,M,2020-04-09 02:38:53,40.80494244124772,-73.97059668883274,COVID-19 Closure,Completely Locked
Forest Park Skatepark,sp,Q,2020-04-09 01:00:46,40.70162964540243,-73.85606262374041,COVID-19 Closure,Completely Locked
McCarren Park Skatepark,sp,B,2020-04-09 02:01:30,40.71936674261734,-73.94974774321874,COVID-19 Closure,Completely Locked
Owl's Head Millenium Skatepark,sp,B,2020-04-09 04:11:50,40.64093638925512,-74.03061323919214,COVID-19 Closure,Completely Locked
Thomas Greene Skate Spot,sp,B,2020-04-10 10:08:03,40.68013947773101,-73.98527430441962,COVID-19 Closure,Completely Locked
River Avenue Skatepark,sp,X,2020-04-09 02:42:58,40.82535421203286,-73.92706937696744,COVID-19 Closure,Completely Locked
Mullaly Skatepark,sp,X,2020-04-09 02:44:50,40.83100234001192,-73.92448482914119,COVID-19 Closure,Completely Locked
Bruckner Playground Skatepark,sp,X,2020-04-09 02:40:50,40.82683849026373,-73.82903048615516,COVID-19 Closure,Completely Locked
Bronx Park Skatepark,sp,X,2020-04-21 09:51:36,40.867058522560356,-73.87125196567168,COVID-19 Closure,Completely Locked
Marine Park Skatepark,sp,B,2020-05-21 01:51:06,40.58883590423812,-73.91979818529799,COVID-19 Closure,Completely Locked
